,Domain,Tweets
0,lavozdigital,36
1,abc,11
2,facebook,11
3,efe,10
4,youtube,9
5,ultimahora,9
6,pscp,7
7,panampost,7
8,nodal,6
9,twitter,5
10,elpais,4
11,rt,4
12,paraguay,4
13,tsje,4
14,telesurtv,4
15,lanacion,3
16,nanduti,3
17,amnesty,3
18,japoli,3
19,hoy,3
20,ahoracde,2
21,frenteguasu,2
22,wwf,2
23,bloomberg,2
24,economis,2
25,kurtural,2
26,cronica,2
27,pylive,2
28,presentes,1
29,tuvotacion,1
30,rebelion,1
31,plan-international,1
32,5dias,1
33,fbapp,1
34,actuall,1
35,debate,1
36,unicanal,1
37,radiouno,1
38,no,1
39,television,1
40,k,1
41,vimeo,1
42,tererecomplice,1
43,letrap,1
44,rcc,1
45,cienciadelsur,1
46,republica,1
47,plata,1
48,mujeresdelpacifico,1
49,elespanol,1
50,efedocanalisis,1
51,agendaparaguay,1
52,m4social,1
53,telefuturo,1
54,gen,1
55,Efrain,1
56,google,1
57,lavanguardia,1
58,toda,1
59,es,1
60,radio1000,1
61,techem,1
62,un,1
63,picsart,1
64,paraguaymipais,1
65,cynthiagarcia,1
66,bbc,1
67,diariosigloxxi,1
68,infobae,1
69,nyti,1
