,1.Usuario,2.Tweets,3.Originales,4.Retweets,5.Quotes,6.Replies,7.Movement,8.Most Interacted Movement
0,hector_rubin,61,0,60,0,1,honor colorado,colorado añetete
1,OcarizMarcio,21,0,6,0,15,honor colorado,colorado añetete
2,federicotorale2,19,3,11,0,5,honor colorado,colorado añetete
3,kokon876,17,0,4,0,13,honor colorado,colorado añetete
4,UlisesAlmada,14,0,14,0,0,honor colorado,colorado añetete
5,amaliacutillo85,13,4,4,0,5,honor colorado,colorado añetete
6,AnaGalean0,12,2,2,0,8,honor colorado,colorado añetete
7,Gilditaes,11,0,8,0,3,honor colorado,colorado añetete
8,rosi_samaniego,11,0,2,0,9,honor colorado,colorado añetete
9,andynunhez87,10,0,4,0,6,honor colorado,colorado añetete
10,espejo_publico1,10,1,5,0,4,honor colorado,colorado añetete
11,elfelipo,10,0,1,0,9,honor colorado,colorado añetete
12,elsantiagopre,8,1,0,0,7,honor colorado,colorado añetete
13,mercedezbar35,7,0,0,0,7,honor colorado,colorado añetete
14,lindarociog,6,0,2,0,4,honor colorado,colorado añetete
15,PatyCapurro,6,0,6,0,0,honor colorado,colorado añetete
16,AlejandroLengu2,6,1,1,0,4,honor colorado,colorado añetete
17,joaquinaya92,5,1,2,0,2,honor colorado,colorado añetete
18,ibarracesar1712,5,0,5,0,0,honor colorado,colorado añetete
19,LaCruzDeRamona,5,0,5,0,0,honor colorado,colorado añetete
20,LinoLaneri,4,0,2,0,2,honor colorado,colorado añetete
21,ZENHEYDA,3,0,3,0,0,honor colorado,colorado añetete
22,CFaccioli,2,0,2,0,0,honor colorado,colorado añetete
23,PedriOCC,2,0,2,0,0,honor colorado,colorado añetete
24,kalill_terror,2,0,2,0,0,honor colorado,colorado añetete
25,alekoopmann,2,0,2,0,0,honor colorado,colorado añetete
26,nelsanchezvill1,2,0,2,0,0,honor colorado,colorado añetete
27,Anigimenez23,2,0,2,0,0,honor colorado,colorado añetete
28,carlostorresskl,2,0,2,0,0,honor colorado,colorado añetete
29,JoseYamil81,2,0,1,0,1,honor colorado,colorado añetete
30,JuanGon29445426,2,0,2,0,0,honor colorado,colorado añetete
31,jorgerafael981,1,1,0,0,0,honor colorado,colorado añetete
32,Chetavyrai,1,0,1,0,0,honor colorado,colorado añetete
33,manu_ayala92,1,0,1,0,0,honor colorado,colorado añetete
34,jorgeariaspy,1,0,1,0,0,honor colorado,colorado añetete
35,corgisama,1,0,1,0,0,honor colorado,colorado añetete
36,zepolref,1,0,1,0,0,honor colorado,colorado añetete
37,Lay_pendejo,1,1,0,0,0,honor colorado,colorado añetete
